,image_number,prediction,probability
16938,test\img_895.jpg,1,0.8627273
3122,test\img_12808.jpg,1,0.86495554
9256,test\img_2034.jpg,1,0.8666772
655,test\img_10588.jpg,1,0.8672414
3746,test\img_1337.jpg,1,0.86920816
12510,test\img_4964.jpg,1,0.8693475
8974,test\img_18075.jpg,1,0.87161833
12797,test\img_5221.jpg,1,0.8718357
3375,test\img_13035.jpg,1,0.87632966
17306,test\img_9280.jpg,1,0.8769443
6687,test\img_16016.jpg,1,0.876996
2795,test\img_12513.jpg,1,0.8823881
12088,test\img_4584.jpg,1,0.884727
9585,test\img_2330.jpg,1,0.8870181
5654,test\img_15087.jpg,1,0.8895503
8006,test\img_17203.jpg,1,0.89088964
8595,test\img_17734.jpg,1,0.89318234
17916,test\img_983.jpg,1,0.89759743
5082,test\img_14572.jpg,1,0.8983593
9750,test\img_248.jpg,1,0.89974684
17475,test\img_9432.jpg,1,0.90253085
1689,test\img_11518.jpg,1,0.90605426
2384,test\img_12143.jpg,1,0.90672106
3954,test\img_13557.jpg,1,0.90710133
16988,test\img_8995.jpg,1,0.90858495
6419,test\img_15776.jpg,1,0.90951145
4859,test\img_14371.jpg,1,0.91075784
6579,test\img_1592.jpg,1,0.9112455
16046,test\img_8146.jpg,1,0.9126322
16905,test\img_892.jpg,1,0.9144149
9917,test\img_263.jpg,1,0.9173139
2789,test\img_12508.jpg,1,0.91772544
10253,test\img_2932.jpg,1,0.91950667
9786,test\img_2511.jpg,1,0.9195641
4321,test\img_13888.jpg,1,0.9220494
3046,test\img_1274.jpg,1,0.92274415
17600,test\img_9545.jpg,1,0.9261831
765,test\img_10687.jpg,1,0.9281598
13944,test\img_6254.jpg,1,0.92888635
4619,test\img_14155.jpg,1,0.9289999
600,test\img_10538.jpg,1,0.9297773
635,test\img_1057.jpg,1,0.9303676
12305,test\img_478.jpg,1,0.932959
1088,test\img_10978.jpg,1,0.9340306
8845,test\img_1796.jpg,1,0.9368243
2693,test\img_12421.jpg,1,0.9380836
4927,test\img_14432.jpg,1,0.93821484
17693,test\img_9629.jpg,1,0.9391406
8862,test\img_17975.jpg,1,0.9397555
3922,test\img_13528.jpg,1,0.9413025
10399,test\img_3063.jpg,1,0.94209343
2640,test\img_12374.jpg,1,0.9435926
8231,test\img_17406.jpg,1,0.9443644
3923,test\img_13529.jpg,1,0.9455876
17591,test\img_9537.jpg,1,0.94638884
14144,test\img_6434.jpg,1,0.9466203
